jd_tdb,calendar,x_jpl_km,y_jpl_km,z_jpl_km,vx_jpl_kms,vy_jpl_kms,vz_jpl_kms,x_num_km,y_num_km,z_num_km,vx_num_kms,vy_num_kms,vz_num_kms,err_r_abs_km,err_r_rel,err_v_abs_kms,err_v_rel,err_rho_abs_km,err_rho_rel
2461068.5,A.D. 2026-Jan-28 00:00:00.0000,-90094310.43317853,116566320.8696995,-6480.759191133082,-24.053391681868323,-18.32857085151713,0.001225825837852135,-90094185.16967706,116565971.00254963,-6486.058489483476,-24.05327336688325,-18.328875679872933,0.0012207673434809182,371.6531311764848,2.5226731373373113e-06,0.0003270234709602282,1.0814004734576917e-05,353.42386347055435,2.398938181009864e-06
2461069.5,A.D. 2026-Jan-29 00:00:00.0000,-92158461.8860117,114964759.91304521,-6373.838421903551,-23.726678792809984,-18.74361671930772,0.001249127485340118,-92158326.34489849,114964383.0487725,-6379.585012003232,-23.72655496688469,-18.743933403798295,0.0012438312099071834,400.53850840675705,2.718401384376105e-06,0.00034007348746756526,1.1246918086014901e-05,378.8247403204441,2.5710329391780427e-06
2461070.5,A.D. 2026-Jan-30 00:00:00.0000,-94194072.50746725,113327595.57745102,-6264.92122374475,-23.392743027993095,-19.152701661629532,0.001272038078342419,-94193926.20420104,113327190.69096552,-6271.135780330591,-23.392613559512238,-19.15303014044661,0.0012665012058917676,430.55351881063547,2.9217331881720964e-06,0.0003531162383139414,1.1679750511300325e-05,404.8907726109028,2.747585970705332e-06
2461071.5,A.D. 2026-Jan-31 00:00:00.0000,-96200523.13233157,111655348.42142871,-6154.041748128831,-23.051698003356794,-19.555697948526962,0.0012945491491009877,-96200365.57026768,111654914.4939744,-6160.745129667676,-23.051562744351504,-19.55603813904185,0.00128877030113522,461.6966264795006,3.1326524830936367e-06,0.0003661392904551633,1.211209610240565e-05,431.5846854150295,2.928340297263592e-06
2461072.5,A.D. 2026-Feb-01 00:00:00.0000,-98177204.51275305,109948549.93901789,-6041.23488318175,-22.703659662266183,-19.952480180110662,0.0013166521563379163,-98177035.18155915,109948085.95974027,-6048.447996100113,-22.70351844476713,-19.95283198436938,0.0013106316169985543,493.96543633607087,3.3511372127185265e-06,0.0003791370008108748,1.2543773280736793e-05,458.8682642877102,3.113032619440008e-06
2461073.5,A.D. 2026-Feb-02 00:00:00.0000,-100123517.51690671,108207742.35655785,-5926.53624867648,-22.34874621911204,-20.34292533077623,0.0013383387482237552,-100123335.89076555,108207247.32358596,-5934.2799033910505,-22.348598853977702,-20.343288641013604,0.0013320784288610337,527.3572438094625,3.5771630681291887e-06,0.00039210968235820485,1.2974797341114344e-05,486.7030773758888,3.301398234254449e-06
2461074.5,A.D. 2026-Feb-03 00:00:00.0000,-102038873.3227268,106433478.4256419,-5809.982169114054,-21.98707810166011,-20.726912793301075,0.0013596009971985623,-102038678.85855949,106432951.34674211,-5818.2769495753955,-21.98692438023515,-20.727287496152172,0.0013531041683870573,561.8694531211486,3.8107063323359272e-06,0.00040506136806316693,1.3405306583112228e-05,515.0509752035141,3.493174440755071e-06
2461075.5,A.D. 2026-Feb-04 00:00:00.0000,-103922693.60662971,104626321.2122824,-5691.609630018473,-21.618777892860244,-21.10432442240074,0.0013804315424046367,-103922485.74257647,104625761.1052391,-5700.475793362157,-21.618617591153647,-21.104710400887246,0.0013737024257012404,597.4997685792687,4.051745183119765e-06,0.0004179967825171074,1.3835462164420152e-05,543.8742780983448,3.688101824286074e-06
2461076.5,A.D. 2026-Feb-05 00:00:00.0000,-105774410.72720662,102786843.88235699,-5571.456227049232,-21.243970272635988,-21.475044577106303,0.0014008236169011925,-105774188.8815493,102786249.77529137,-5580.913640352848,-21.243803157233547,-21.47544171009643,0.0013938669514708692,634.2461223806538,4.300259208228521e-06,0.0004309182808537678,1.426534678627309e-05,573.1356393396854,3.885923340584858e-06
2461077.5,A.D. 2026-Feb-06 00:00:00.0000,-107593467.9038952,100915629.48346785,-5449.560117430984,-20.862781959912365,-21.838960161354663,0.0014207709667459767,-107593231.47453015,100915000.41530356,-5459.628229083971,-20.86260779462599,-21.839368320787184,0.0014135916588950232,672.1063657293513,4.556227316543717e-06,0.0004438234015852152,1.4694883610580524e-05,602.7976450622082,4.086381615803101e-06
2461078.5,A.D. 2026-Feb-07 00:00:00.0000,-109379319.39065507,99013270.72338618,-5325.959982097149,-20.475341654908604,-22.195960662392636,0.0014402676934555103,-109379067.7551367,99012605.74462804,-5336.6578169017475,-20.475160207184334,-22.19637970894043,0.0014328706255997373,711.0777921965765,4.8196245142704155e-06,0.0004567034075563423,1.5123787814525675e-05,632.8222557008266,4.289215174798268e-06
2461079.5,A.D. 2026-Feb-08 00:00:00.0000,-111131430.64466208,97080369.74528047,-5200.695002995431,-20.08177998150054,-22.54593818680174,0.0014593080655433968,-111131163.1607618,97079667.9192045,-5212.041165677149,-20.081591027848674,-22.546367964830477,0.0014516980954386923,751.1565836954318,5.09041816010833e-06,0.0004695429141000066,1.555155409555022e-05,663.1702074110508,4.494154401789544e-06
2461080.5,A.D. 2026-Feb-09 00:00:00.0000,-112849278.49001722,95117537.89993511,-5073.8048566803345,-19.682229429422623,-22.8887874941629,0.0014778863381312846,-112848994.49669197,95116798.30421458,-5085.817527369433,-19.682032759409942,-22.8892278268102,0.0014700684801990077,792.3372658586363,5.368564288349314e-06,0.00048232048791908643,1.5977476307565407e-05,693.8004778921604,4.700917941572723e-06
2461081.5,A.D. 2026-Feb-10 00:00:00.0000,-114532351.2764476,93125395.51515806,-4945.329721949995,-19.27682429610914,-23.22440602848553,0.0014959966101208977,-114532050.09508291,93124617.24388379,-4958.02662944644,-19.27661971469994,-23.224856713551784,0.001487976361211808,834.6122466423458,5.654004500232574e-06,0.0004950100062909817,1.640069229597442e-05,724.6698949635029,4.9092100718509015e-06
2461082.5,A.D. 2026-Feb-11 00:00:00.0000,-116180149.03296138,91104571.66256367,-4815.310297522694,-18.86570062803062,-23.55269394756236,0.0015136327388329818,-116179829.96874373,91103753.82856475,-4828.708660169861,-18.865487956254174,-23.553154754735136,0.0015054164908673336,877.9714920757295,5.946663788336468e-06,0.0005075825466938019,1.6820246346726135e-05,755.7329398393631,5.118719397563498e-06
2461083.5,A.D. 2026-Feb-12 00:00:00.0000,-117792183.61640914,89055703.92190301,-4683.787824150177,-18.448996161430767,-23.87355415041411,0.0015307883231177044,-117791845.9596877,89054845.6592368,-4697.904253753694,-18.448775235493773,-23.87402482017762,0.0015223837940344638,922.4023738754992,6.246449528146746e-06,0.0005200085884163757,1.7235162036164946e-05,786.9417664706707,5.3291190103909765e-06
2461084.5,A.D. 2026-Feb-13 00:00:00.0000,-119367978.85489608,86979438.14309984,-4550.804105084389,-18.026850262399616,-24.186892302981413,0.001547456758855148,-119367621.8824084,86978538.60955569,-4565.654475404214,-18.02662093147305,-24.187372547400248,0.001538873369384604,967.8897083455603,6.553251766889981e-06,0.0005322603219067275,1.7644518729915246e-05,818.2464390695095,5.540068125891541e-06
2461085.5,A.D. 2026-Feb-14 00:00:00.0000,-120907070.68598646,84876428.20613693,-4416.401518624276,-17.59940386622354,-24.49261686222111,0.0015636313646076871,-120906693.66184743,84875486.58558948,-4432.000806249695,-17.599165989239104,-24.49310636762718,0.0015548804906199926,1014.4159869378561,6.866944810469864e-06,0.00054431386175066,1.804752497418788e-05,849.595366537571,5.751215052175452e-06
2461086.5,A.D. 2026-Feb-15 00:00:00.0000,-122409007.28963365,82747335.77892308,-4280.623017162085,-17.16679941594611,-24.790639098779735,0.0015793055690185298,-122408609.46602057,82746351.28337614,-4296.985128168097,-17.166552857849464,-24.7911375302168,0.001570400607606567,1061.96178261616,7.1873899993262845e-06,0.0005561511402619218,1.8443581385397588e-05,880.9358922839165,5.962201207138477e-06
